Species,Hub,Transect,Mom,Inflorescence,Spray Date,Size,Notes
L. californica,A,1,1,1,4/28/19,3,
L. californica,A,1,2,1,4/28/19,3,
L. californica,A,1,3,1,4/28/19,5.5,
L. californica,A,2,1,1,4/26/19,5.5,
L. californica,A,2,1,2,5/3/19,bud,dead bud not sprayed
L. californica,A,2,2,1,4/23/19,6,
L. californica,A,2,3,1,4/24/19,5.5,
L. fremontii,A,1,1,1,4/28/19,4,
L. fremontii,A,1,2,1,4/28/19,2,
L. fremontii,A,1,3,1,4/28/19,7,
L. fremontii,A,1,3,2,5/10/19,3,
L. fremontii,A,2,1,1,4/27/19,5.5,
L. fremontii,A,2,2,1,5/4/19,4.5,
L. fremontii,A,2,2,2,5/8/19,3.5,
L. fremontii,A,2,3,1,4/27/19,4.5,
L. glaberrima,A,1,1,1,4/23/19,2,
L. glaberrima,A,1,1,2,5/4/19,1.5,
L. glaberrima,A,1,2,1,4/28/19,2,
L. glaberrima,A,1,3,1,4/23/19,4.5,
L. glaberrima,A,1,3,2,4/27/19,3,
L. glaberrima,A,2,1,1,4/22/19,4.5,
L. glaberrima,A,2,1,2,4/22/19,4,
L. glaberrima,A,2,1,3,4/22/19,4,
L. glaberrima,A,2,1,4,4/24/19,3,
L. glaberrima,A,2,1,5,4/26/19,2.5,
L. glaberrima,A,2,2,1,4/22/19,2,
L. glaberrima,A,2,2,2,4/24/19,1.5,
L. glaberrima,A,2,3,1,4/22/19,2.5,
L. glaberrima,A,2,3,2,5/6/19,3.5,
L. californica,B,1,1,1,4/27/19,2.5,
L. californica,B,1,2,1,4/27/19,4,
L. californica,B,1,3,1,4/24/19,7,
L. californica,B,1,3,2,5/3/19,3,
L. californica,B,2,1,1,4/26/19,3.5,
L. californica,B,2,2,1,4/27/19,7,
L. californica,B,2,3,1,5/3/19,6,
L. fremontii,B,1,1,1,4/25/19,7,
L. fremontii,B,1,2,1,5/3/19,5,
L. fremontii,B,1,3,1,5/3/19,8.5,
L. fremontii,B,1,3,2,5/3/19,9,
L. fremontii,B,1,3,3,5/3/19,9,
L. fremontii,B,1,3,4,5/8/19,8,
L. fremontii,B,1,3,5,5/8/19,6,
L. fremontii,B,1,3,6,5/8/19,5,
L. fremontii,B,2,1,1,5/3/19,3,
L. fremontii,B,2,2,1,5/4/19,8,
L. fremontii,B,2,2,2,5/10/19,6,
L. fremontii,B,2,3,1,5/3/19,4,
L. fremontii,B,2,3,2,5/6/19,3,
L. glaberrima,B,1,1,1,4/22/19,4,
L. glaberrima,B,1,1,2,4/23/19,4,
L. glaberrima,B,1,1,3,4/23/19,3,
L. glaberrima,B,1,1,4,4/26/19,3.5,
L. glaberrima,B,1,1,5,4/27/19,3,
L. glaberrima,B,1,1,6,4/27/19,3,
L. glaberrima,B,1,2,1,4/22/19,4.5,
L. glaberrima,B,1,2,2,4/22/19,4,
L. glaberrima,B,1,2,3,4/26/19,3.5,
L. glaberrima,B,1,3,1,4/22/19,3.5,
L. glaberrima,B,1,3,2,4/28/19,3.5,
L. glaberrima,B,1,3,3,4/28/19,3.5,
L. glaberrima,B,1,3,4,5/8/19,2.5,
L. glaberrima,B,2,1,1,4/22/19,3.5,
L. glaberrima,B,2,1,2,4/28/19,3,
L. glaberrima,B,2,1,3,5/8/19,2.5,
L. glaberrima,B,2,1,4,5/8/19,2,
L. glaberrima,B,2,2,1,4/22/19,3,
L. glaberrima,B,2,2,2,4/22/19,2,
L. glaberrima,B,2,2,3,5/14/19,bud,dead bud not sprayed
L. glaberrima,B,2,3,1,4/22/19,3,
L. glaberrima,B,2,3,2,4/22/19,2,
L. californica,C,1,1,1,4/25/19,2,
L. californica,C,1,2,1,4/25/19,7,
L. californica,C,1,2,2,4/28/19,6.5,
L. californica,C,1,2,3,4/28/19,5,
L. californica,C,1,3,1,4/28/19,5,
L. californica,C,2,1,1,4/25/19,5,
L. californica,C,2,2,1,4/23/19,3,
L. californica,C,2,3,1,5/8/19,3.5,
L. fremontii,C,1,1,1,4/28/19,7,
L. fremontii,C,1,2,1,4/28/19,3.5,
L. fremontii,C,1,3,1,4/24/19,4,
L. fremontii,C,2,1,1,4/22/19,8,
L. fremontii,C,2,2,1,4/22/19,6,
L. fremontii,C,2,3,1,4/22/19,9,
L. fremontii,C,2,3,2,4/26/19,9,
L. fremontii,C,2,3,3,4/28/19,8,
L. fremontii,C,2,3,4,5/3/19,bud,dead bud not sprayed
L. fremontii,C,2,3,5,NA,NA,missing in field.
L. glaberrima,C,1,1,1,4/26/19,2,
L. glaberrima,C,1,2,1,4/24/19,2,
L. glaberrima,C,1,3,1,4/22/19,2,
L. glaberrima,C,1,3,2,4/24/19,2,
L. glaberrima,C,2,1,1,4/23/19,2,
L. glaberrima,C,2,1,2,4/23/19,1.5,
L. glaberrima,C,2,2,1,4/28/19,4,
L. glaberrima,C,2,3,NA,NA,NA,NA
L. californica,D,1,1,1,4/28/19,3.5,
L. californica,D,1,2,1,4/23/19,4.5,
L. californica,D,1,3,1,4/23/19,4,
L. californica,D,1,3,2,4/28/19,2,
L. californica,D,2,1,1,4/28/19,7,
L. californica,D,2,1,2,5/3/19,5.5,
L. californica,D,2,2,1,4/28/19,5.5,
L. californica,D,2,3,1,4/23/19,5,
L. fremontii,D,1,1,1,4/27/19,5,
L. fremontii,D,1,2,1,4/27/19,7,
L. fremontii,D,1,3,1,4/26/19,4,
L. fremontii,D,2,1,1,4/24/19,8,
L. fremontii,D,2,2,1,4/25/19,7,
L. fremontii,D,2,3,1,4/22/19,7,
L. glaberrima,D,1,1,1,4/22/19,2,
L. glaberrima,D,1,2,1,4/22/19,4.5,
L. glaberrima,D,1,2,2,4/22/19,4.5,
L. glaberrima,D,1,2,3,4/22/19,4.5,
L. glaberrima,D,1,2,4,4/25/19,4,
L. glaberrima,D,1,2,5,4/27/19,4,
L. glaberrima,D,1,2,6,4/28/19,3,
L. glaberrima,D,1,2,7,5/3/19,3,
L. glaberrima,D,1,3,1,4/24/19,3,
L. glaberrima,D,1,3,2,4/24/19,3,
L. glaberrima,D,1,3,3,4/28/19,2,
L. glaberrima,D,1,3,4,4/28/19,1.5,
L. glaberrima,D,1,3,5,5/3/19,bud,dead bud not sprayed
L. glaberrima,D,2,1,1,4/23/19,4.5,
L. glaberrima,D,2,1,2,4/27/19,4,
L. glaberrima,D,2,1,3,4/27/19,4,
L. glaberrima,D,2,1,4,5/8/19,bud,dead bud not sprayed
L. glaberrima,D,2,2,1,4/22/19,4,
L. glaberrima,D,2,2,2,4/28/19,3.5,
L. glaberrima,D,2,3,1,4/22/19,3.5,
L. glaberrima,D,2,3,2,4/22/19,3,
L. glaberrima,D,2,3,3,4/22/19,3,
L. californica,E,1,1,1,4/23/19,6,
L. californica,E,1,2,1,4/23/19,3,
L. californica,E,1,3,1,4/23/19,2,
L. californica,E,2,1,1,4/23/19,3,
L. californica,E,2,2,1,4/23/19,4,
L. californica,E,2,3,1,4/23/19,3.5,
L. fremontii,E,1,1,1,4/26/19,2.5,
L. fremontii,E,1,2,1,4/28/19,4,
L. fremontii,E,1,3,1,4/24/19,5,
L. fremontii,E,2,1,1,4/28/19,5.5,
L. fremontii,E,2,2,1,4/23/19,11,
L. fremontii,E,2,2,2,5/3/19,10,
L. fremontii,E,2,2,3,5/10/19,5.5,
L. fremontii,E,2,2,4,5/10/19,8,
L. fremontii,E,2,3,1,5/3/19,9.5,
L. fremontii,E,2,3,2,5/7/19,8,
L. fremontii,E,2,3,3,5/7/19,6.5,
L. fremontii,E,2,3,4,5/8/19,bud,dead bud not sprayed
L. glaberrima,E,1,1,1,4/22/19,4,
L. glaberrima,E,1,1,2,4/22/19,4,
L. glaberrima,E,1,1,3,5/3/19,3.5,
L. glaberrima,E,1,1,4,5/3/19,3,
L. glaberrima,E,1,2,1,4/22/19,3,
L. glaberrima,E,1,2,2,4/22/19,3,
L. glaberrima,E,1,2,3,5/3/19,2.5,
L. glaberrima,E,1,3,1,4/23/19,3,
L. glaberrima,E,1,3,2,5/3/19,2.5,
L. glaberrima,E,2,1,1,4/22/19,3.5,
L. glaberrima,E,2,1,2,5/3/19,2,
L. glaberrima,E,2,2,1,4/23/19,2.5,
L. glaberrima,E,2,2,2,4/28/19,2,
L. glaberrima,E,2,3,1,4/23/19,3.5,
L. glaberrima,E,2,3,2,4/23/19,2,
L. californica,F,1,1,1,4/22/19,6,
L. californica,F,1,2,1,4/22/19,4.5,
L. californica,F,1,3,1,4/22/19,6.5,
L. californica,F,1,3,2,4/28/19,5.5,
L. californica,F,1,3,3,4/28/19,3,
L. californica,F,2,1,1,4/25/19,3,
L. californica,F,2,2,1,4/28/19,7,
L. californica,F,2,2,2,5/6/19,bud,dead bud not sprayed
L. californica,F,2,3,NA,NA,NA,NA
L. fremontii,F,1,1,1,4/25/19,5,
L. fremontii,F,1,2,1,4/28/19,10,
L. fremontii,F,1,2,2,5/14/19,3,
L. fremontii,F,1,3,1,4/24/19,9,
L. fremontii,F,2,1,1,4/28/19,8,
L. fremontii,F,2,1,2,4/28/19,9,
L. fremontii,F,2,1,3,5/3/19,7.5,
L. fremontii,F,2,1,4,5/9/19,7,
L. fremontii,F,2,1,5,5/14/19,5,
L. fremontii,F,2,2,1,4/28/19,6.5,
L. fremontii,F,2,3,NA,NA,NA,NA
L. glaberrima,F,1,1,1,4/23/19,2.5,
L. glaberrima,F,1,2,1,4/23/19,2.5,
L. glaberrima,F,1,2,2,4/23/19,1.5,
L. glaberrima,F,1,3,1,4/23/19,3,
L. glaberrima,F,1,3,2,5/3/19,1.5,
L. glaberrima,F,2,1,1,4/23/19,2,
L. glaberrima,F,2,2,1,4/22/19,5,
L. glaberrima,F,2,2,2,5/9/19,bud,dead bud not sprayed
L. glaberrima,F,2,3,1,4/27/19,3,
L. glaberrima,F,2,3,2,5/3/19,2.5,
L. californica,G,1,1,1,4/23/19,3.5,
L. californica,G,1,2,1,5/4/19,5.5,
L. californica,G,1,3,1,4/28/19,3,
L. californica,G,2,1,1,4/28/19,5.5,
L. californica,G,2,1,2,5/14/19,bud,dead bud not sprayed
L. californica,G,2,2,1,4/26/19,4,
L. californica,G,2,3,1,4/24/19,4.5,
L. fremontii,G,1,1,1,5/3/19,3,
L. fremontii,G,1,2,1,5/3/19,5,
L. fremontii,G,1,3,1,5/3/19,4,
L. fremontii,G,2,1,1,4/28/19,4,
L. fremontii,G,2,2,1,4/26/19,5,
L. fremontii,G,2,3,NA,NA,NA,NA
L. glaberrima,G,1,1,1,4/26/19,3.5,
L. glaberrima,G,1,1,2,5/3/19,2,
L. glaberrima,G,1,2,1,4/28/19,3,
L. glaberrima,G,1,3,1,4/23/19,3,
L. glaberrima,G,1,3,2,4/28/19,3,
L. glaberrima,G,1,3,3,5/10/19,3,
L. glaberrima,G,2,1,1,4/23/19,3,
L. glaberrima,G,2,1,2,4/28/19,2.5,
L. glaberrima,G,2,2,1,4/23/19,2,
L. glaberrima,G,2,3,1,4/23/19,2.5,
L. californica,H,1,1,1,4/25/19,6,
L. californica,H,1,2,1,4/22/19,2.5,
L. californica,H,1,3,1,4/22/19,3,
L. californica,H,2,1,1,4/24/19,2,
L. californica,H,2,2,1,4/23/19,6,
L. californica,H,2,3,1,4/23/19,2,
L. fremontii,H,1,1,1,4/28/19,9,
L. fremontii,H,1,1,2,4/3/19,6.5,
L. fremontii,H,1,1,3,NA,NA,missing
L. fremontii,H,1,2,1,4/28/19,7,
L. fremontii,H,1,2,2,5/14/19,bud,dead bud not sprayed
L. fremontii,H,1,3,1,4/23/19,6,
L. fremontii,H,1,3,2,NA,bud,not sprayed
L. fremontii,H,2,1,1,4/23/19,4,
L. fremontii,H,2,2,1,4/23/19,4,
L. fremontii,H,2,3,1,4/25/19,5,
L. glaberrima,H,1,1,1,4/22/19,4.5,
L. glaberrima,H,1,1,2,4/22/19,4,
L. glaberrima,H,1,1,3,4/28/19,3,
L. glaberrima,H,1,2,1,4/22/19,5,
L. glaberrima,H,1,2,2,4/22/19,4.5,
L. glaberrima,H,1,2,3,4/22/19,4,
L. glaberrima,H,1,2,4,4/28/19,3,
L. glaberrima,H,1,2,5,4/28/19,3,
L. glaberrima,H,1,3,1,4/22/19,3,
L. glaberrima,H,1,3,2,4/24/19,3,
L. glaberrima,H,2,1,1,4/22/19,4,
L. glaberrima,H,2,1,2,4/22/19,3.5,
L. glaberrima,H,2,1,3,4/26/19,3,
L. glaberrima,H,2,1,4,5/3/19,1.5,
L. glaberrima,H,2,2,1,4/23/19,4,
L. glaberrima,H,2,2,2,4/23/19,3,
L. glaberrima,H,2,2,3,4/23/19,3,
L. glaberrima,H,2,3,1,4/23/19,3,
L. glaberrima,H,2,3,2,4/23/19,3,
L. glaberrima,H,2,3,3,4/23/19,3,
L. glaberrima,H,2,3,4,4/28/19,2.5,
L. glaberrima,H,2,3,5,5/7/19,bud,dead bud not sprayed
L. californica,I,1,1,1,4/22/19,6,
L. californica,I,1,1,2,4/28/19,4,
L. californica,I,1,2,1,4/22/19,4.5,
L. californica,I,1,3,1,4/24/19,4,
L. californica,I,1,3,2,5/3/19,1,
L. californica,I,2,1,1,4/24/19,2,
L. californica,I,2,2,1,4/28/19,4.5,
L. californica,I,2,3,1,4/24/19,5.5,
L. fremontii,I,1,1,1,4/26/19,5,
L. fremontii,I,1,2,1,4/23/19,8,
L. fremontii,I,1,3,1,4/28/19,8,
L. fremontii,I,2,1,1,4/28/19,4,
L. fremontii,I,2,2,1,4/28/19,4.5,
L. fremontii,I,2,3,1,4/26/19,5,
L. glaberrima,I,1,1,1,4/22/19,4,
L. glaberrima,I,1,1,2,4/24/19,3,
L. glaberrima,I,1,1,3,NA,NA,missed - dispersed too early
L. glaberrima,I,1,2,1,4/22/19,3,
L. glaberrima,I,1,2,2,4/22/19,3.5,
L. glaberrima,I,1,2,3,NA,NA,missed - dispersed too early
L. glaberrima,I,1,3,1,4/22/19,3.5,
L. glaberrima,I,1,3,2,4/22/19,2,
L. glaberrima,I,2,1,1,4/25/19,4.5,
L. glaberrima,I,2,1,2,4/25/19,3.5,
L. glaberrima,I,2,1,3,4/25/19,3.5,
L. glaberrima,I,2,2,1,4/25/19,3,
L. glaberrima,I,2,2,2,4/25/19,2,
L. glaberrima,I,2,3,1,4/28/19,3,
L. californica,J,1,1,1,4/28/19,4,
L. californica,J,1,1,2,4/28/19,3.5,
L. californica,J,1,2,1,4/28/19,5.5,
L. californica,J,1,2,2,4/28/19,3.5,
L. californica,J,1,3,1,4/28/19,8,
L. californica,J,1,3,2,4/28/19,8,
L. californica,J,2,1,1,4/28/19,3,
L. californica,J,2,2,1,4/28/19,4,
L. californica,J,2,3,1,4/28/19,3.5,
L. fremontii,J,1,1,1,4/28/19,8,
L. fremontii,J,1,1,2,5/14/19,bud,dead bud not sprayed
L. fremontii,J,1,2,1,5/3/19,5.5,
L. fremontii,J,1,3,1,4/28/19,6,
L. fremontii,J,2,1,1,4/28/19,5,
L. fremontii,J,2,1,2,5/10/19,6,
L. fremontii,J,2,2,1,4/28/19,5,
L. fremontii,J,2,2,2,4/28/19,4,
L. fremontii,J,2,2,3,5/3/19,bud,dead bud not sprayed
L. fremontii,J,2,3,1,5/6/19,5,
L. fremontii,J,2,3,2,5/10/19,6,
L. fremontii,J,2,3,3,5/14/19,5,
L. glaberrima,J,1,1,1,4/27/19,3.5,
L. glaberrima,J,1,1,2,4/28/19,2.5,
L. glaberrima,J,1,2,1,4/28/19,2,
L. glaberrima,J,1,2,2,4/28/19,2.5,
L. glaberrima,J,1,3,1,4/27/19,3.5,
L. glaberrima,J,1,3,2,4/27/19,3.5,
L. glaberrima,J,1,3,3,4/27/19,3.5,
L. glaberrima,J,1,3,4,4/28/19,3,
L. glaberrima,J,2,1,1,4/27/19,4.5,
L. glaberrima,J,2,1,2,4/27/19,3,
L. glaberrima,J,2,1,3,4/27/19,3,
L. glaberrima,J,2,2,NA,NA,NA,NA
L. glaberrima,J,2,3,1,4/28/19,3,
L. glaberrima,J,2,3,2,4/28/19,2.5,