Full ID,Species,Hub,Transect,Mom,Pins?,n_inflor,Full Length Main Branch,Full Length Branch 2,Full Length Branch 3,Full Length Branch 4,Full Length Branch 5,Full Length Branch 6,Full Length Branch 7
AcalT1M2,cal,A,1,2,Yes,1,130.827,NA,NA,NA,NA,NA,NA
AcalT2M2,cal,A,2,2,Yes,1,137.741,NA,NA,NA,NA,NA,NA
AcalT2M3,cal,A,2,3,No,1,110.773,NA,NA,NA,NA,NA,NA
AfreT2M1,fre,A,2,1,Yes,1,197.031,NA,NA,NA,NA,NA,NA
AglaT1M3,gla,A,1,3,Yes,2,356.495,343.1,NA,NA,NA,NA,NA
BcalT1M2,cal,B,1,2,No,1,122.029,NA,NA,NA,NA,NA,NA
BcalT2M1,cal,B,2,1,No,1,163.42,NA,NA,NA,NA,NA,NA
BcalT2M2,cal,B,2,2,Yes,1,222.984,NA,NA,NA,NA,NA,NA
BfreT1M2,fre,B,1,2,Yes,1,161.952,NA,NA,NA,NA,NA,NA
BglaT2M2,gla,B,2,2,Yes,2,242.747,233.764,NA,NA,NA,NA,NA
BglaT2M3,gla,B,2,3,Yes,2,202.705,220.112,NA,NA,NA,NA,NA
CcalT1M1,cal,C,1,1,No,1,117.876,NA,NA,NA,NA,NA,NA
CcalT1M2,cal,C,1,2,Yes,3,176.106,151.182,148.144,NA,NA,NA,NA
CcalT1M3,cal,C,1,3,Yes,1,181.296,NA,NA,NA,NA,NA,NA
CcalT2M1,cal,C,2,1,Yes,1,149.912,NA,NA,NA,NA,NA,NA
CfreT1M1,fre,C,1,1,Yes,1,164.71,NA,NA,NA,NA,NA,NA
CfreT2M1,fre,C,2,1,No,1,175.002,NA,NA,NA,NA,NA,NA
CfreT2M2,fre,C,2,2,Yes,1,146.046,NA,NA,NA,NA,NA,NA
CfreT2M3,fre,C,2,3,Yes,3,139.267,138.086,129.467,NA,NA,NA,NA
CglaT1M1,gla,C,1,1,Yes,1,241.114,NA,NA,NA,NA,NA,NA
CglaT1M2,gla,C,1,2,Yes,1,192.41,NA,NA,NA,NA,NA,NA
CglaT2M2,gla,C,2,2,Yes,1,225.502,NA,NA,NA,NA,NA,NA
DcalT1M1,cal,D,1,1,No,1,89.902,NA,NA,NA,NA,NA,NA
DcalT1M2,cal,D,1,2,Yes,1,106.834,NA,NA,NA,NA,NA,NA
DcalT2M1,cal,D,2,1,Yes,2,160.314,123.606,NA,NA,NA,NA,NA
DcalT2M2,cal,D,2,2,Yes,1,150.166,NA,NA,NA,NA,NA,NA
DcalT2M3,cal,D,2,3,Yes,1,113.884,NA,NA,NA,NA,NA,NA
DfreT1M1,fre,D,1,1,Yes,1,147.534,NA,NA,NA,NA,NA,NA
DfreT1M2,fre,D,1,2,Yes,1,190.627,NA,NA,NA,NA,NA,NA
DfreT2M1,fre,D,2,1,No,1,151.78,NA,NA,NA,NA,NA,NA
DfreT2M2,fre,D,2,2,No,1,127.869,NA,NA,NA,NA,NA,NA
DfreT2M3,fre,D,2,3,No,1,117.497,NA,NA,NA,NA,NA,NA
DglaT1M2,gla,D,1,2,Yes,7,266.053,249.734,238.397,208.393,277.759,303.958,280.275
DglaT2M2,gla,D,2,2,Yes,2,266.29,246.894,NA,NA,NA,NA,NA
EcalT1M1,cal,E,1,1,Yes,1,154.871,NA,NA,NA,NA,NA,NA
EcalT1M2,cal,E,1,2,Yes,1,109.079,NA,NA,NA,NA,NA,NA
EcalT2M1,cal,E,2,1,Yes,1,107.429,NA,NA,NA,NA,NA,NA
EcalT2M3,cal,E,2,3,Yes,1,99.348,NA,NA,NA,NA,NA,NA
EfreT1M2,fre,E,1,2,Yes,1,141.059,NA,NA,NA,NA,NA,NA
EfreT1M3,fre,E,1,3,Yes,1,208.332,NA,NA,NA,NA,NA,NA
EglaT1M1,gla,E,1,1,Yes,4,197.591,238.893,228.34,218.426,,NA,NA
EglaT2M3,gla,E,2,3,Yes,2,177.643,185.838,NA,NA,NA,NA,NA
FcalT1M1,cal,F,1,1,Yes,1,91.513,NA,NA,NA,NA,NA,NA
FcalT1M2,cal,F,1,2,Yes,1,105.794,NA,NA,NA,NA,NA,NA
FcalT1M3,cal,F,1,3,Yes,3,99.448,134.965,144.811,NA,NA,NA,NA
FfreT1M1,fre,F,1,1,No,1,193.539,NA,NA,NA,NA,NA,NA
FfreT1M3,fre,F,1,3,Yes,1,207.571,NA,NA,NA,NA,NA,NA
GcalT1M3,cal,G,1,3,Yes,1,166.414,NA,NA,NA,NA,NA,NA
GcalT2M1,cal,G,2,1,Yes,1,161.583,NA,NA,NA,NA,NA,NA
GcalT2M3,cal,G,2,3,Yes,1,NA,NA,NA,NA,NA,NA,NA
GfreT2M1,fre,G,2,1,Yes,1,134.236,NA,NA,NA,NA,NA,NA
GfreT2M2,fre,G,2,2,Yes,1,176.463,NA,NA,NA,NA,NA,NA
GglaT1M1,gla,G,1,1,Yes,2,211.376,209.778,NA,NA,NA,NA,NA
GglaT2M3,gla,G,2,3,Yes,1,234.875,NA,NA,NA,NA,NA,NA
HcalT1M2,cal,H,1,2,Yes,1,74.052,NA,NA,NA,NA,NA,NA
HcalT1M3,cal,H,1,3,Yes,1,110.297,NA,NA,NA,NA,NA,NA
HcalT2M2,cal,H,2,2,Yes,1,131.018,NA,NA,NA,NA,NA,NA
HfreT2M2,fre,H,2,2,Yes,1,158.063,NA,NA,NA,NA,NA,NA
HglaT1M1,gla,H,1,1,Yes,3,NA,NA,NA,NA,NA,NA,NA
HglaT1M3,gla,H,1,3,Yes,2,180.415,182.966,NA,NA,NA,NA,NA
HglaT2M2,gla,H,2,2,Yes,3,243.902,243.191,284.274,NA,NA,NA,NA
IcalT1M2,cal,I,1,2,Yes,1,104.035,NA,NA,NA,NA,NA,NA
IcalT2M2,cal,I,2,2,Yes,1,121.179,NA,NA,NA,NA,NA,NA
IcalT2M3,cal,I,2,3,Yes,1,141.193,NA,NA,NA,NA,NA,NA
IfreT1M1,fre,I,1,1,Yes,1,126.633,NA,NA,NA,NA,NA,NA
IfreT1M2,fre,I,1,2,Yes,1,138.238,NA,NA,NA,NA,NA,NA
IfreT2M3,fre,I,2,3,Yes,1,146.072,NA,NA,NA,NA,NA,NA
IglaT1M1,gla,I,1,1,Yes,2,314.532,367.169,279.203,NA,NA,NA,NA
IglaT1M2,gla,I,1,2,Yes,2,275.11,287.481,NA,NA,NA,NA,NA
IglaT2M2,gla,I,2,2,Yes,2,173.066,180.913,NA,NA,NA,NA,NA
JcalT1M1,cal,J,1,1,Yes,2,126.063,127.424,NA,NA,NA,NA,NA
JcalT1M2,cal,J,1,2,Yes,2,153.111,115.345,NA,NA,NA,NA,NA
JcalT2M1,cal,J,2,1,Yes,1,111.228,NA,NA,NA,NA,NA,NA
JglaT1M1,gla,J,1,1,Yes,2,211.349,200.56,NA,NA,NA,NA,NA